,well id,well name,analysis date,formation,sample depth,kmax,kmax-h,k90,kvert,porosity,grain density,bulk density,lithology description
388,300I486010124000,DEVON KOTANEELEE YT I-48,3/14/1980,Dnahanni,3913.16,2080.0,187.2,2080.0,0.01,0.047,2840.0,2710.0,"dol,intgran,ppv,sv,frac"
394,300G016010124150,BP CANADA ENERGY COMPANY BEAVER YT G-01,8/20/1969,Dnahanni,4394.39,1209.0,326.43,274.0,9.59,0.038,2770.0,2670.0,"sv,few,lv"
395,300E376010124000,DEVON KOTANEELEE YT E-37,10/19/1978,Dnahanni,3938.87,1220.0,292.8,219.0,4.99,0.035,2760.0,2660.0,"dol,intgran,ppv,sv,anhy,carb,vfr"
399,300I486010124000,DEVON KOTANEELEE YT I-48,3/14/1980,Dnahanni,3913.65,2180.0,1417.0,160.0,1.74,0.011,2830.0,2800.0,"dol,intgran,ppv,frac"
400,300G016010124150,BP CANADA ENERGY COMPANY BEAVER YT G-01,8/20/1969,Dnahanni,4247.69,169.0,50.7,154.0,1.54,0.007,2830.0,2810.0,"dns,frac"
404,300G016010124150,BP CANADA ENERGY COMPANY BEAVER YT G-01,8/20/1969,Dnahanni,4396.37,193.0,65.62,137.0,0.84,0.005,2810.0,2800.0,"few,ppv,frac"
406,300E376010124000,DEVON KOTANEELEE YT E-37,10/19/1978,Dnahanni,3948.41,114.0,34.2,110.0,9.67,0.034,2830.0,2730.0,"dol,intgran,ppv,sv,anhy,carb,vfr"
413,300G016010124150,BP CANADA ENERGY COMPANY BEAVER YT G-01,8/20/1969,Dnahanni,4245.28,215.0,51.6,96.4,84.0,0.018,2830.0,2780.0,"few,sv,vfrac"
420,300L606020124150,BP CANADA ENERGY COMPANY MERRILL YT L-60,4/2/1969,Dnahanni,1619.16,207.0,24.84,94.38,0.04,0.054,2810.0,2690.0,"lv,sv,sty"
421,300F086040124300,CPOG ET AL LABICHE F-08,2/25/1971,Dnahanni,1991.62,98.3,65.86,90.8,3.98,0.04,2700.0,2590.0,i sty f cal
422,300F086040124301,CPOG ET AL LABICHE F-08,2/25/1971,Dnahanni,1991.62,98.3,65.86,90.8,3.98,0.04,2700.0,2590.0,i sty f cal
423,300F086040124302,CPOG ET AL LABICHE F-08,2/25/1971,Dnahanni,1991.62,98.3,65.86,90.8,3.98,0.04,2700.0,2590.0,i sty f cal
427,300I486010124000,DEVON KOTANEELEE YT I-48,3/14/1980,Dnahanni,3776.36,408.0,73.44,84.5,104.0,0.05,2880.0,2740.0,"dol,intgran,ppv,sv,scat,lv,vfrac"
428,300L606020124150,BP CANADA ENERGY COMPANY MERRILL YT L-60,4/2/1969,Dnahanni,1633.55,132.0,35.64,83.46,52.92,0.055,2830.0,2680.0,"lv,sv"
441,300G016010124150,BP CANADA ENERGY COMPANY BEAVER YT G-01,8/20/1969,Dnahanni,4397.56,79.4,23.82,63.2,0.01,0.029,2800.0,2720.0,"few,sv"
442,300E376010124000,DEVON KOTANEELEE YT E-37,10/19/1978,Dnahanni,3902.81,77.2,16.21,63.2,21.0,0.044,2720.0,2600.0,"dol,intgran,ppv,sv,anhy,carb"
445,300K456030123450,AMOCO CDA PANAM POINTED MOUNTAIN K-45(A-2),3/4/1968,Dnahanni,3078.6,73.7,25.06,60.7,4.97,0.056,2840.0,2680.0,"lv,sv,ppv,hfrac,sty"
446,300K456030123451,AMOCO CDA PANAM POINTED MOUNTAIN K-45(A-2),3/4/1968,Dnahanni,3078.6,73.7,25.06,60.7,4.97,0.056,2840.0,2680.0,"lv,sv,ppv,hfrac,sty"
447,300K456030123452,AMOCO CDA PANAM POINTED MOUNTAIN K-45(A-2),3/4/1968,Dnahanni,3078.6,73.7,25.06,60.7,4.97,0.056,2840.0,2680.0,"lv,sv,ppv,hfrac,sty"
448,300F386030123450,AMOCO POINTED MOUNTAIN (B-2) F-38,9/25/1973,Dnahanni,4471.35,75.8,22.74,55.6,19.2,0.02,2830.0,2780.0,"sv,ppv,hfrac,vfrac,sty"
449,300F386030123451,AMOCO POINTED MOUNTAIN (B-2) F-38,9/25/1973,Dnahanni,4471.35,75.8,22.74,55.6,19.2,0.02,2830.0,2780.0,"sv,ppv,hfrac,vfrac,sty"
